Compare,,Numworks,TI-Nspire CX II,Orange Pi Zero 2W,,Radxa Cubie A7Z,,,,,,,17800
Taille,Longeur,160mm,191mm,65mm,,,aliexpresse,,,,,,
,Largeur,82mm,86mm,30mm,,,,,,,,,
,Hauteur,10mm,15mm,,,,,,,,,,
CPU,nbr de coeur,1,1,4,,8,"19,39€",,,,,,
,fréquence,216MHz,396MHz,"1,5GHz",,2.0GHz,,,,,,,
,type,ARM 32 bit,ARM 32 bit,ARM 64 bit,,Armv8 64‑bit @ 1.6GHz,,,,,,,
GPU,Support,-,-,"OpenGL ES 1.0/2.0/3.2, OpenCL 2.0, Vulkan 1.1",,Imagination BXM-4-64 MC1,,,,,,,
Stokage ,Capacité,8Mo,128Mo,64Go,Amazon,16Go,,,,,,,
,Vitesse lecture,104 Mo/s,?,140Mo/s,,240Mo/s,,,,,,,
,vitesse écriture,213 Ko/s,,140Mo/s,,160Mo/s,,,,,,,
RAM,Capacité,564Ko,64Mo,1Go,,1Go,,,,,,,
,Fréquence,104MHz,?,1600MHz,,3200MHz,,,,,,,
Connectiques,USB,,,,,USB-C 3.1 + USB-C 2.0,,,,,,,
,,,,,,,,,,,,,
,,,,,,40Pin GPIO Header,,,,,,,
Screen,Largeur,320,320,320,,320,Aliexpresse,,,,,,
,Hauteur,240,240,240,,240,,,,,,,
,Diagonal,"2,8""","2,8""","2,8""",,"3""","5,89 €",,,,,,
,Couleur,18 bit,16bit,18bit,,16bit,,,,,,,
,Tech,IPS LCD,LCD,TFT LCD,,LCD,,,,,,,
Keypad,Nbr,43,71,106,,106,"15,31 €",,,,,,
Cout,,"82,99 €","180,00 €","60,74 €",,"15,31 €",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre,Radxa Cubie A7Z,MIPI DSI screen,Keyboard,Batterie,Coque,€/U,Cout TT,€/U avec TVA,,,,,
1,"31,61 €","8,58 €","15,31 €",,"1,00 €","56,4993 €","56,50 €","67,80 €",,,,,
5,"22,43 €","6,5900 €","15,3093 €",,"1,00 €","44,3333 €","221,67 €","53,2000 €",,,,,
10,"25,69 €","5,8900 €","13,9160 €",,"1,00 €","45,4980 €","454,98 €","54,5976 €",,,,,
50,"22,30 €","5,8900 €","10,16 €",,"1,00 €","38,3554 €","1 917,77 €","46,0265 €",,,,,
100,"20,24 €","5,8900 €","9,52 €",,"1,00 €","35,6536 €","3 565,36 €","42,7843 €",,,,,
500,"18,38 €","5,8900 €","9,00352",,"1,00 €","33,2690 €","16 634,49 €","39,9228 €",,,,,
